symbol,period,datetime,open,high,low,close,volume,update_time
300672.XSHG,1day,2021-02-18 15:00:00,42.79,44.67,42.79,43.75,1400352,2021/2/18 15:00
300672.XSHG,1day,2021-02-19 15:00:00,43.84,43.86,42.92,43.85,1003803,2021/2/19 15:00
300672.XSHG,1day,2021-02-22 15:00:00,43.85,44.65,43.55,44.09,1241797,2021/2/22 15:00
300672.XSHG,1day,2021-02-23 15:00:00,43.39,44.41,42.39,42.64,914429,2021/2/23 15:00
300672.XSHG,1day,2021-02-24 15:00:00,42.64,44.49,42.55,43.17,1031984,2021/2/24 15:00
300672.XSHG,1day,2021-02-25 15:00:00,43.43,44.09,42.88,43.03,830800,2021/2/25 15:00
300672.XSHG,1day,2021-02-26 15:00:00,41.89,42.94,41.89,42,763812,2021/2/26 15:00
300672.XSHG,1day,2021-03-01 15:00:00,42.98,48.63,42.67,47.1,3006090,2021/3/1 15:00
300672.XSHG,1day,2021-03-02 15:00:00,47.05,47.05,44.88,46.37,1918644,2021/3/2 15:00
300672.XSHG,1day,2021-03-03 15:00:00,45.33,47.46,45.33,46.91,1229648,2021/3/3 15:00
300672.XSHG,1day,2021-03-04 15:00:00,46.32,48.48,45.87,46.33,1735720,2021/3/4 15:00
300672.XSHG,1day,2021-03-05 15:00:00,45.66,47.66,45.66,46.82,1261651,2021/3/5 15:00
300672.XSHG,1day,2021-03-08 15:00:00,47.21,47.71,45.17,45.45,1389920,2021/3/8 15:00
300672.XSHG,1day,2021-03-09 15:00:00,45.52,45.95,42.84,42.87,1271276,2021/3/9 15:00
300672.XSHG,1day,2021-03-10 15:00:00,43.85,43.85,41.88,42.13,794092,2021/3/10 15:00
300672.XSHG,1day,2021-03-11 15:00:00,41.96,44.37,41.49,43.17,908413,2021/3/11 15:00
300672.XSHG,1day,2021-03-12 15:00:00,43.17,43.69,42.08,42.26,714462,2021/3/12 15:00
300672.XSHG,1day,2021-03-15 15:00:00,41.88,41.9,41.09,41.33,634434,2021/3/15 15:00
300672.XSHG,1day,2021-03-16 15:00:00,41.56,41.84,41.18,41.56,425526,2021/3/16 15:00
300672.XSHG,1day,2021-03-17 15:00:00,41.49,43.17,41.31,42.81,862182,2021/3/17 15:00
300672.XSHG,1day,2021-03-18 15:00:00,43.03,43.3,42.39,42.86,627305,2021/3/18 15:00
300672.XSHG,1day,2021-03-19 15:00:00,42.53,46.47,42.08,45.18,3875604,2021/3/19 15:00
300672.XSHG,1day,2021-03-22 15:00:00,45.19,46.02,44.54,44.66,1854163,2021/3/22 15:00
300672.XSHG,1day,2021-03-23 15:00:00,44.93,46.6,44.67,44.71,1367954,2021/3/23 15:00
300672.XSHG,1day,2021-03-24 15:00:00,44.27,44.65,43.29,43.64,947238,2021/3/24 15:00
300672.XSHG,1day,2021-03-25 15:00:00,43.32,44.67,43.32,44.07,635332,2021/3/25 15:00
300672.XSHG,1day,2021-03-26 15:00:00,43.77,44.54,43.69,44.4,559813,2021/3/26 15:00
300672.XSHG,1day,2021-03-29 15:00:00,44.42,44.83,43.99,44.25,591510,2021/3/29 15:00
300672.XSHG,1day,2021-03-30 15:00:00,43.98,44.33,43.29,43.37,712762,2021/3/30 15:00
300672.XSHG,1day,2021-03-31 15:00:00,43.37,43.82,42.69,42.83,517396,2021/3/31 15:00
300672.XSHG,1day,2021-04-01 15:00:00,43.57,44,42.78,43.81,666733,2021/4/1 15:00
300672.XSHG,1day,2021-04-02 15:00:00,43.85,45.37,43.67,45.22,1480984,2021/4/2 15:00
300672.XSHG,1day,2021-04-06 15:00:00,45.23,45.67,44.25,44.72,922966,2021/4/6 15:00
300672.XSHG,1day,2021-04-07 15:00:00,44.72,44.84,44.15,44.23,571447,2021/4/7 15:00
300672.XSHG,1day,2021-04-08 15:00:00,44.25,44.75,43.68,43.73,662408,2021/4/8 15:00
300672.XSHG,1day,2021-04-09 15:00:00,43.67,44.23,43.19,43.56,491120,2021/4/9 15:00
300672.XSHG,1day,2021-04-12 15:00:00,43.61,43.63,41.5,41.99,1153632,2021/4/12 15:00
300672.XSHG,1day,2021-04-13 15:00:00,42.37,42.88,41.99,42.39,527826,2021/4/13 15:00
300672.XSHG,1day,2021-04-14 15:00:00,42.39,43.41,42.18,43,509169,2021/4/14 15:00
300672.XSHG,1day,2021-04-15 15:00:00,42.98,43.32,42.4,43.12,375784,2021/4/15 15:00
300672.XSHG,1day,2021-04-16 15:00:00,43.65,43.77,42.76,43.73,441972,2021/4/16 15:00
300672.XSHG,1day,2021-04-19 15:00:00,44.38,44.87,43.42,44.67,1066371,2021/4/19 15:00
300672.XSHG,1day,2021-04-20 15:00:00,44.59,46.89,44.37,45.48,1617278,2021/4/20 15:00
300672.XSHG,1day,2021-04-21 15:00:00,45.07,46.79,44.58,46.13,1626901,2021/4/21 15:00
300672.XSHG,1day,2021-04-22 15:00:00,46.86,49.78,45.97,48.46,3515862,2021/4/22 15:00
300672.XSHG,1day,2021-04-23 15:00:00,48.04,49.56,47.95,49.09,1952850,2021/4/23 15:00
300672.XSHG,1day,2021-04-26 15:00:00,49.91,53.84,49.54,52.35,4410249,2021/4/26 15:00
300672.XSHG,1day,2021-04-27 15:00:00,52.43,54.14,52.15,53.73,3107288,2021/4/27 15:00
300672.XSHG,1day,2021-04-28 15:00:00,53.84,54.85,52.45,53.63,3087619,2021/4/28 15:00
300672.XSHG,1day,2021-04-29 15:00:00,54.34,57.03,54.24,56.88,4471725,2021/4/29 15:00
300672.XSHG,1day,2021-04-30 15:00:00,57.13,65.81,57.13,64.3,7293690,2021/4/30 15:00
300672.XSHG,1day,2021-05-06 15:00:00,66.81,76.64,66.23,72.39,8736448,2021/5/6 15:00
300672.XSHG,1day,2021-05-07 15:00:00,72.42,74.68,66.81,70.94,7154578,2021/5/7 15:00
300672.XSHG,1day,2021-05-10 15:00:00,70.85,85.13,70.85,85.13,7831137,2021/5/10 15:00
300672.XSHG,1day,2021-05-11 15:00:00,91.73,102.16,86.64,101.18,11971509,2021/5/11 15:00
300672.XSHG,1day,2021-05-12 15:00:00,95.14,104.7,89.81,102.67,11275194,2021/5/12 15:00
300672.XSHG,1day,2021-05-13 15:00:00,92.83,98.14,85.95,87.25,12121443,2021/5/13 15:00
300672.XSHG,1day,2021-05-14 15:00:00,87.25,90.16,83.06,88.62,8943047,2021/5/14 15:00
