symbol,period,datetime,open,high,low,close,volume,update_time
000001.XSHG,1day,2015-2-25 15:00:00,3256.48,3257.22,3215.62,3228.84,23334809600,2015-2-25 15:00:00
000001.XSHG,1day,2015-2-26 15:00:00,3222.15,3300.55,3202.44,3298.36,30126387200,2015-2-26 15:00:00
000001.XSHG,1day,2015-2-27 15:00:00,3296.83,3323.97,3291.49,3310.3,29916371200,2015-2-27 15:00:00
000001.XSHG,1day,2015-3-2 15:00:00,3332.72,3336.7,3299.16,3336.28,34644566400,2015-3-2 15:00:00
000001.XSHG,1day,2015-3-3 15:00:00,3317.69,3317.69,3260.74,3263.05,38204460800,2015-3-3 15:00:00
000001.XSHG,1day,2015-3-4 15:00:00,3264.18,3286.57,3250.56,3279.53,29363952000,2015-3-4 15:00:00
000001.XSHG,1day,2015-3-5 15:00:00,3264.08,3266.53,3221.74,3248.48,32066358400,2015-3-5 15:00:00
000001.XSHG,1day,2015-3-6 15:00:00,3248.04,3266.84,3234.79,3241.19,28291577600,2015-3-6 15:00:00
000001.XSHG,1day,2015-3-9 15:00:00,3224.31,3307.17,3198.47,3302.41,32149542400,2015-3-9 15:00:00
000001.XSHG,1day,2015-3-10 15:00:00,3289.08,3309.92,3277.29,3286.07,28581756800,2015-3-10 15:00:00
000001.XSHG,1day,2015-3-11 15:00:00,3289.59,3324.41,3278.71,3290.9,28298553600,2015-3-11 15:00:00
000001.XSHG,1day,2015-3-12 15:00:00,3314.81,3359.86,3300.58,3349.32,35729510400,2015-3-12 15:00:00
000001.XSHG,1day,2015-3-13 15:00:00,3359.49,3391.26,3352.34,3372.91,32841014400,2015-3-13 15:00:00
000001.XSHG,1day,2015-3-16 15:00:00,3391.16,3449.3,3377.09,3449.3,39913241600,2015-3-16 15:00:00
000001.XSHG,1day,2015-3-17 15:00:00,3469.6,3503.93,3459.69,3502.85,52093952000,2015-3-17 15:00:00
000001.XSHG,1day,2015-3-18 15:00:00,3510.5,3577.35,3504.4,3577.3,54521715200,2015-3-18 15:00:00
000001.XSHG,1day,2015-3-19 15:00:00,3576.02,3600.68,3546.84,3582.27,53734662400,2015-3-19 15:00:00
000001.XSHG,1day,2015-3-20 15:00:00,3587.08,3632.14,3569.38,3617.32,51666166400,2015-3-20 15:00:00
000001.XSHG,1day,2015-3-23 15:00:00,3640.1,3687.87,3635.54,3687.73,53606284800,2015-3-23 15:00:00
000001.XSHG,1day,2015-3-24 15:00:00,3692.57,3715.87,3600.94,3691.41,63955468800,2015-3-24 15:00:00
000001.XSHG,1day,2015-3-25 15:00:00,3680.95,3692.47,3634.63,3660.73,52188633600,2015-3-25 15:00:00
000001.XSHG,1day,2015-3-26 15:00:00,3641.94,3707.15,3615.01,3682.09,48864720000,2015-3-26 15:00:00
000001.XSHG,1day,2015-3-27 15:00:00,3686.13,3710.08,3656.88,3691.1,40894515200,2015-3-27 15:00:00
000001.XSHG,1day,2015-3-30 15:00:00,3710.61,3795.52,3710.61,3786.57,56470233600,2015-3-30 15:00:00
000001.XSHG,1day,2015-3-31 15:00:00,3822.99,3835.01,3737.53,3747.9,56167603200,2015-3-31 15:00:00
000001.XSHG,1day,2015-4-1 15:00:00,3748.34,3816.75,3742.21,3810.29,44745830400,2015-4-1 15:00:00
000001.XSHG,1day,2015-4-2 15:00:00,3827.69,3835.1,3775.89,3825.78,47929968000,2015-4-2 15:00:00
000001.XSHG,1day,2015-4-3 15:00:00,3803.38,3863.98,3792.32,3863.93,47303331200,2015-4-3 15:00:00
000001.XSHG,1day,2015-4-7 15:00:00,3899.42,3961.38,3892.08,3961.38,57044755200,2015-4-7 15:00:00
000001.XSHG,1day,2015-4-8 15:00:00,3976.53,3999.87,3903.8,3994.81,61808544000,2015-4-8 15:00:00
000001.XSHG,1day,2015-4-9 15:00:00,4006.13,4016.31,3900.55,3957.53,58517683200,2015-4-9 15:00:00
